timestamp,steps,data source
2026-05-01T00:02:48Z,12,MobileTrack
2026-05-01T00:03:48Z,12,MobileTrack
2026-05-01T00:04:48Z,45,MobileTrack
2026-05-01T00:05:48Z,15,MobileTrack
2026-05-01T00:22:48Z,3,MobileTrack
2026-05-01T00:23:48Z,15,MobileTrack
2026-05-01T00:24:48Z,12,MobileTrack
2026-05-01T00:25:48Z,35,MobileTrack
2026-05-01T00:26:48Z,25,MobileTrack
2026-05-01T00:28:48Z,18,MobileTrack
2026-05-01T00:29:48Z,28,MobileTrack
2026-05-01T00:30:48Z,20,MobileTrack
2026-05-01T00:31:48Z,6,MobileTrack
2026-05-01T00:32:48Z,12,MobileTrack
2026-05-01T00:33:48Z,11,MobileTrack
2026-05-01T00:34:48Z,1,MobileTrack
2026-05-01T00:35:48Z,12,MobileTrack
2026-05-01T00:37:48Z,7,MobileTrack
2026-05-01T00:38:48Z,4,MobileTrack
2026-05-01T00:39:48Z,15,MobileTrack
2026-05-01T00:40:48Z,10,MobileTrack
2026-05-01T00:41:48Z,25,MobileTrack
2026-05-01T00:42:48Z,9,MobileTrack
2026-05-01T00:43:48Z,4,MobileTrack
2026-05-01T00:44:48Z,23,MobileTrack
2026-05-01T00:45:48Z,1,MobileTrack
2026-05-01T00:46:03Z,25,MobileTrack
2026-05-01T00:48:03Z,4,MobileTrack
2026-05-01T00:49:03Z,15,MobileTrack
2026-05-01T00:50:03Z,18,MobileTrack
2026-05-01T00:52:03Z,7,MobileTrack
2026-05-01T00:53:03Z,27,MobileTrack
2026-05-01T00:54:03Z,7,MobileTrack
2026-05-01T00:55:03Z,5,MobileTrack
2026-05-01T00:56:03Z,18,MobileTrack
2026-05-01T00:59:03Z,10,MobileTrack
2026-05-01T01:00:03Z,31,MobileTrack
2026-05-01T01:01:03Z,28,MobileTrack
2026-05-01T01:02:03Z,43,MobileTrack
2026-05-01T01:03:03Z,51,MobileTrack
2026-05-01T01:04:03Z,7,MobileTrack
2026-05-01T01:05:03Z,20,MobileTrack
2026-05-01T01:17:03Z,5,MobileTrack
2026-05-01T01:18:03Z,20,MobileTrack
2026-05-01T01:19:03Z,18,MobileTrack
2026-05-01T01:20:03Z,7,MobileTrack
2026-05-01T01:21:03Z,58,MobileTrack
2026-05-01T01:22:03Z,57,MobileTrack
2026-05-01T01:23:03Z,24,MobileTrack
2026-05-01T01:24:03Z,28,MobileTrack
2026-05-01T01:25:03Z,13,MobileTrack
2026-05-01T01:26:03Z,31,MobileTrack
2026-05-01T01:27:03Z,31,MobileTrack
2026-05-01T01:28:03Z,28,MobileTrack
2026-05-01T01:29:03Z,27,MobileTrack
2026-05-01T01:30:03Z,27,MobileTrack
2026-05-01T01:31:03Z,27,MobileTrack
2026-05-01T01:32:03Z,5,MobileTrack
2026-05-01T01:33:03Z,26,MobileTrack
2026-05-01T01:34:03Z,14,MobileTrack
2026-05-01T01:35:03Z,1,MobileTrack
2026-05-01T01:36:03Z,10,MobileTrack
2026-05-01T01:37:03Z,24,MobileTrack
2026-05-01T01:38:03Z,2,MobileTrack
2026-05-01T01:39:03Z,18,MobileTrack
2026-05-01T01:40:03Z,15,MobileTrack
2026-05-01T01:41:03Z,26,MobileTrack
2026-05-01T01:42:03Z,35,MobileTrack
2026-05-01T01:43:03Z,2,MobileTrack
2026-05-01T01:44:03Z,14,MobileTrack
2026-05-01T01:45:03Z,7,MobileTrack
2026-05-01T01:46:03Z,9,MobileTrack
2026-05-01T01:47:03Z,62,MobileTrack
2026-05-01T01:48:03Z,51,MobileTrack
2026-05-01T01:49:03Z,74,MobileTrack
2026-05-01T01:50:03Z,76,MobileTrack
2026-05-01T01:51:03Z,19,MobileTrack
2026-05-01T01:52:03Z,6,MobileTrack
2026-05-01T01:53:03Z,64,MobileTrack
2026-05-01T01:54:03Z,17,MobileTrack
2026-05-01T01:55:03Z,70,MobileTrack
